nik,nama,usia,jenis_kelamin,alamat,kota,pekerjaan,status_perkawinan
320152000001,Penduduk_1,52,Laki-laki,Jl. Contoh No.1,Denpasar,Petani,Kawin
320132000002,Penduduk_2,15,Laki-laki,Jl. Contoh No.2,Yogyakarta,Mahasiswa,Cerai Mati
320128000003,Penduduk_3,72,Laki-laki,Jl. Contoh No.3,Yogyakarta,PNS,Cerai Hidup
320192000004,Penduduk_4,61,Laki-laki,Jl. Contoh No.4,Jakarta,Guru,Cerai Hidup
320131000005,Penduduk_5,21,Perempuan,Jl. Contoh No.5,Medan,Dokter,Belum Kawin
320138000006,Penduduk_6,83,Perempuan,Jl. Contoh No.6,Jakarta,Pelajar,Cerai Mati
320131000007,Penduduk_7,87,Laki-laki,Jl. Contoh No.7,Yogyakarta,Mahasiswa,Belum Kawin
320104000008,Penduduk_8,75,Laki-laki,Jl. Contoh No.8,Bandung,Petani,Cerai Hidup
320148000009,Penduduk_9,75,Laki-laki,Jl. Contoh No.9,Makassar,Dokter,Belum Kawin
320133000010,Penduduk_10,88,Perempuan,Jl. Contoh No.10,Makassar,Guru,Cerai Hidup
320183000011,Penduduk_11,24,Laki-laki,Jl. Contoh No.11,Denpasar,Pengangguran,Cerai Hidup
320181000012,Penduduk_12,3,Perempuan,Jl. Contoh No.12,Makassar,Pengangguran,Belum Kawin
320121000013,Penduduk_13,22,Perempuan,Jl. Contoh No.13,Denpasar,Petani,Belum Kawin
320101000014,Penduduk_14,53,Perempuan,Jl. Contoh No.14,Denpasar,Pelajar,Kawin
320134000015,Penduduk_15,2,Laki-laki,Jl. Contoh No.15,Denpasar,Pelajar,Kawin
320194000016,Penduduk_16,88,Perempuan,Jl. Contoh No.16,Yogyakarta,Guru,Kawin
320176000017,Penduduk_17,30,Laki-laki,Jl. Contoh No.17,Yogyakarta,Mahasiswa,Cerai Hidup
320151000018,Penduduk_18,38,Perempuan,Jl. Contoh No.18,Medan,Guru,Belum Kawin
320181000019,Penduduk_19,2,Laki-laki,Jl. Contoh No.19,Surabaya,Wiraswasta,Cerai Mati
320113000020,Penduduk_20,64,Perempuan,Jl. Contoh No.20,Denpasar,Pelajar,Cerai Hidup
320149000021,Penduduk_21,60,Laki-laki,Jl. Contoh No.21,Denpasar,Dokter,Cerai Mati
320175000022,Penduduk_22,21,Perempuan,Jl. Contoh No.22,Surabaya,Wiraswasta,Belum Kawin
320131000023,Penduduk_23,33,Laki-laki,Jl. Contoh No.23,Jakarta,Pengangguran,Cerai Hidup
320147000024,Penduduk_24,76,Laki-laki,Jl. Contoh No.24,Denpasar,Pengangguran,Cerai Mati
320159000025,Penduduk_25,58,Laki-laki,Jl. Contoh No.25,Medan,PNS,Cerai Mati
320118000026,Penduduk_26,22,Laki-laki,Jl. Contoh No.26,Makassar,Petani,Kawin
320171000027,Penduduk_27,89,Perempuan,Jl. Contoh No.27,Makassar,Wiraswasta,Kawin
320108000028,Penduduk_28,49,Perempuan,Jl. Contoh No.28,Bandung,Petani,Kawin
320151000029,Penduduk_29,59,Laki-laki,Jl. Contoh No.29,Bandung,Guru,Cerai Hidup
320107000030,Penduduk_30,42,Perempuan,Jl. Contoh No.30,Makassar,Wiraswasta,Belum Kawin
320113000031,Penduduk_31,60,Laki-laki,Jl. Contoh No.31,Makassar,Guru,Belum Kawin
320186000032,Penduduk_32,80,Laki-laki,Jl. Contoh No.32,Yogyakarta,PNS,Kawin
320103000033,Penduduk_33,15,Perempuan,Jl. Contoh No.33,Medan,Pelajar,Kawin
